sensor_id,nombre,municipio,lat,lon,PM2.5,calidad_aire
39285,Santa Catarina,Santa Catarina,25.675858,-100.46506,28.0,Aceptable
39509,Instituto Nezaldi II,Santa Catarina,25.657537,-100.43686,17.0,Buena
44463,MD-Inside,Santa Catarina,25.680864,-100.454346,14.0,Buena
46511,Cordillera,Santa Catarina,25.65262,-100.44098,28.0,Aceptable
47771,La Huasteca - Col. Los Nogales,Santa Catarina,25.625784,-100.455536,20.0,Buena
47855,"American School Foundation of Monterrey, A.C.",Santa Catarina,25.659332,-100.44651,22.0,Buena
56439,UT Santa Catarina N.L.,Santa Catarina,25.690498,-100.510574,24.0,Buena
56441,"Biblioteca Col. Portales, Sta. Catarina N.L.",Santa Catarina,25.680862,-100.438034,2.0,Buena
60085,Colinas del Valle,Santa Catarina,25.67816,-100.39298,27.0,Aceptable
60227,Calle Volcánica,Santa Catarina,25.653492,-100.44073,28.0,Aceptable
105714,MADISA-Inside 3er Piso,Santa Catarina,25.680647,-100.45453,14.0,Buena
129911,Santa María,Santa Catarina,25.670769,-100.37459,11.0,Buena
154481,MADISA,Santa Catarina,25.681019,-100.45439,37.0,Aceptable
56657,Protección Civil Sta Catarina N.L.,Santa Catarina,25.68367,-100.487625,25.0,Buena
56429,"Salón Polivalente el Castillo, Santa Catarina N.L.",Santa Catarina,25.671558,-100.47101,42.0,Aceptable
56643,SEDUE Santa Catarina,Santa Catarina,25.67562,-100.458275,25.0,Buena
146946,Santa Martha,Santiago,25.39318,-100.15896,19.0,Buena
174777,Colegio Cambridge de Monterrey Campus Dominio,Garcia,25.763336,-100.45736,24.0,Buena
174731,Colegio Cambridge de Monterrey Campus Cumbres,Monterrey,25.745853,-100.412834,24.0,Buena
47883,Internacional KIlimanjaro Monterrey,Monterrey,25.721378,-100.40059,22.0,Buena
93711,Sima Prepa Militarizada,Monterrey,25.762922,-100.36954,27.0,Aceptable
39471,Instituto Bilingue Stanford,Monterrey,25.741053,-100.4099,413.0,Extremadamente Mala
119937,Grupo Reforma Cumbres,Monterrey,25.71012,-100.37474,24.0,Buena
132789,Grupo Versitalia,Monterrey,25.717283,-100.35843,22.0,Buena
133367,Matimex,Monterrey,25.696999,-100.366234,21.0,Buena
47233,NCIM,Monterrey,25.693592,-100.35304,21.0,Buena
174781,Colegio Cambridge de Monterrey Campus Mitras,Monterrey,25.696613,-100.348114,26.0,Aceptable
36015,Parque lineal 2,Escobedo,25.792114,-100.32246,52.0,Mala
174787,Colegio Cambridge de Monterrey Campus Norte,Escobedo,25.779789,-100.28021,23.0,Buena
45903,AGENERAL SNGNL,San Nicolas de los Garza,25.75302,-100.297615,30.0,Aceptable
93835,Sima UANL 2,San Nicolas de los Garza,25.730259,-100.31022,29.0,Aceptable
24415,Alcatraces,San Nicolas de los Garza,25.727991,-100.227165,10.0,Buena
143368,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Apodaca,Apodaca,25.782166,-100.1917,18.0,Buena
96317,Sima Apodaca,Apodaca,25.77748,-100.18819,0.0,Buena
