sensor_id,nombre,municipio,lat,lon
174777,Colegio Cambridge de Monterrey Campus Dominio,Garcia,25.763336,-100.45736
174731,Colegio Cambridge de Monterrey Campus Cumbres,Monterrey,25.745853,-100.412834
47883,Internacional KIlimanjaro Monterrey,Monterrey,25.721378,-100.40059
93711,Sima Prepa Militarizada,Monterrey,25.762922,-100.36954
39471,Instituto Bilingue Stanford,Monterrey,25.741053,-100.4099
119937,Grupo Reforma Cumbres,Monterrey,25.71012,-100.37474
132789,Grupo Versitalia,Monterrey,25.717283,-100.35843
133367,Matimex,Monterrey,25.696999,-100.366234
47233,NCIM,Monterrey,25.693592,-100.35304
174781,Colegio Cambridge de Monterrey Campus Mitras,Monterrey,25.696613,-100.348114
36015,Parque lineal 2,Escobedo,25.792114,-100.32246
174787,Colegio Cambridge de Monterrey Campus Norte,Escobedo,25.779789,-100.28021
45903,AGENERAL SNGNL,San Nicolas de los Garza,25.75302,-100.297615
93835,Sima UANL 2,San Nicolas de los Garza,25.730259,-100.31022
24415,Alcatraces,San Nicolas de los Garza,25.727991,-100.227165
143368,Estación de Monitoreo de Calidad del Aire Comité Municipal PAN Apodaca,Apodaca,25.782166,-100.1917
96317,Sima Apodaca,Apodaca,25.77748,-100.18819
